model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,refinement_name,refinement_reason,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,recent_fraction,decay_half_life_days
DecayPop,globo_recbole_sample,cuda,1.0,2048.0,1024.0,1.18,0.66,0.0,session_popularity_refined,interpretable half-life decay,0.0217,0.0406,0.0127,0.0188,0.0098,0.0123,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,13.05,"{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:07:09,,3.0
DecayPop,globo_recbole_sample,cuda,1.0,2048.0,1024.0,1.65,0.72,0.0,session_popularity_refined,interpretable half-life decay,0.0296,0.0506,0.0164,0.0232,0.0121,0.0149,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,16.99,"{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:07:26,,7.0
DecayPop,globo_recbole_sample,cuda,1.0,2048.0,1024.0,1.45,0.7,0.0,session_popularity_refined,interpretable half-life decay,0.0345,0.0623,0.0201,0.0289,0.0154,0.019,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,19.45,"{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:07:45,,14.0
DecayPop,globo_recbole_sample,cuda,1.0,2048.0,1024.0,1.14,0.67,0.0,session_popularity_refined,interpretable half-life decay,0.0359,0.0619,0.0233,0.0316,0.0192,0.0226,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,15.01,"{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:08:00,,30.0
DecayPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.53,0.71,0.0,session_popularity_refined,interpretable half-life decay,0.0003,0.001,0.0002,0.0004,0.0001,0.0002,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,12.73,"{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:08:13,,0.25
DecayPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.58,0.81,0.0,session_popularity_refined,interpretable half-life decay,0.0005,0.0009,0.0002,0.0004,0.0002,0.0002,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,16.3,"{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:08:29,,0.5
DecayPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.08,0.5,0.0,session_popularity_refined,interpretable half-life decay,0.0007,0.0013,0.0005,0.0007,0.0004,0.0005,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,10.11,"{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:08:39,,1.0
DecayPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.14,0.5,0.0,session_popularity_refined,interpretable half-life decay,0.0029,0.0056,0.0019,0.0028,0.0016,0.0019,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,9.53,"{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:08:49,,3.0
DecayPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.09,0.49,0.0,session_popularity_refined,interpretable half-life decay,0.0067,0.0104,0.0039,0.0051,0.003,0.0034,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,9.6,"{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:08:59,,7.0
DecayPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.29,0.49,0.0,session_popularity_refined,interpretable half-life decay,0.0088,0.0129,0.0064,0.0077,0.0056,0.0062,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,9.75,"{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:09:08,,14.0
