model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight
VSTAN,globo_recbole_sample,cuda,1,2048,1024,209.08,441.14,0.0,,,0.1003,0.1825,0.0475,0.074,0.0305,0.0413,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,657.89,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500,250,0.1,True,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,253.57,535.24,0.0,,,0.012,0.0287,0.0055,0.0108,0.0034,0.0056,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,796.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500,250,0.1,True,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,253.41,534.86,0.0,,,0.0031,0.0084,0.0017,0.0034,0.0012,0.0019,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,795.94,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500,250,0.1,True,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,206.3,434.98,0.0,,,0.1084,0.1959,0.0522,0.0803,0.034,0.0455,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,648.94,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500,250,0.1,False,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,250.25,528.03,0.0,,,0.0243,0.0589,0.0111,0.0222,0.0069,0.0114,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,785.95,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500,250,0.1,False,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,249.31,526.97,0.0,,,0.0032,0.0087,0.0016,0.0034,0.0011,0.0018,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,784.01,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500,250,0.1,False,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,209.27,441.28,0.0,,,0.1009,0.1852,0.0478,0.0749,0.0307,0.0418,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,658.23,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",500,250,0.2,True,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,253.44,535.23,0.0,,,0.014,0.0326,0.0064,0.0124,0.004,0.0064,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,796.36,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",500,250,0.2,True,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,252.78,534.56,0.0,,,0.0035,0.0093,0.0019,0.0037,0.0014,0.0021,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,795.05,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",500,250,0.2,True,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,206.15,434.9,0.0,,,0.1087,0.1975,0.0523,0.0808,0.034,0.0456,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,648.73,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",500,250,0.2,False,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,250.72,528.15,0.0,,,0.0276,0.0627,0.0128,0.0241,0.008,0.0127,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,786.42,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",500,250,0.2,False,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,249.0,527.71,0.0,,,0.0034,0.0097,0.0017,0.0037,0.0012,0.002,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,784.54,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",500,250,0.2,False,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,335.44,709.07,0.0,,,0.1242,0.2276,0.0589,0.0923,0.0379,0.0516,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1051.97,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",500,500,0.05,True,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,410.19,868.53,0.0,,,0.0207,0.0553,0.0092,0.0203,0.0056,0.0101,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1286.64,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",500,500,0.05,True,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,410.13,867.16,0.0,,,0.003,0.008,0.0016,0.0032,0.0012,0.0018,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1285.17,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",500,500,0.05,True,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,329.9,698.25,0.0,,,0.1308,0.2381,0.0634,0.0979,0.0415,0.0556,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1035.77,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",500,500,0.05,False,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,404.35,855.56,0.0,,,0.0541,0.1091,0.0248,0.0425,0.0155,0.0227,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1267.89,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",500,500,0.05,False,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,403.18,855.77,0.0,,,0.0029,0.0085,0.0015,0.0033,0.0011,0.0018,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1266.87,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",500,500,0.05,False,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,334.66,708.96,0.0,,,0.125,0.2286,0.0593,0.0928,0.0381,0.0519,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1051.57,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500,500,0.1,True,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,410.07,870.02,0.0,,,0.0249,0.0608,0.0112,0.0226,0.0068,0.0114,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1287.94,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500,500,0.1,True,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,409.2,868.73,0.0,,,0.0032,0.0084,0.0018,0.0034,0.0013,0.002,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1285.85,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500,500,0.1,True,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,330.52,698.56,0.0,,,0.1318,0.2389,0.0638,0.0982,0.0417,0.0558,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1036.98,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500,500,0.1,False,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,403.94,856.03,0.0,,,0.06,0.1167,0.0277,0.0461,0.0174,0.0249,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1267.89,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500,500,0.1,False,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,404.18,855.98,0.0,,,0.0031,0.0092,0.0016,0.0035,0.0011,0.0019,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1267.97,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500,500,0.1,False,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,335.19,710.17,0.0,,,0.1267,0.2317,0.0601,0.094,0.0386,0.0526,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1053.29,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,True,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,410.24,868.74,0.0,,,0.0312,0.0689,0.014,0.0261,0.0086,0.0135,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1286.93,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,True,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,409.5,870.29,0.0,,,0.0037,0.0094,0.002,0.0038,0.0015,0.0022,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1287.76,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,True,,,,,,,,,,1.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,330.74,698.75,0.0,,,0.133,0.2405,0.0642,0.0987,0.0419,0.056,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1037.42,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,False,,,,,,,,,,0.0
VSTAN,globo_recbole_sample,cuda,1,2048,1024,403.58,858.91,0.0,,,0.0672,0.1272,0.0314,0.0508,0.0198,0.0278,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1270.37,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,False,,,,,,,,,,0.5
VSTAN,globo_recbole_sample,cuda,1,2048,1024,399.51,842.62,0.0,,,0.0035,0.0103,0.0018,0.004,0.0012,0.0021,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1249.8,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,False,,,,,,,,,,1.0
MostPop,adressa_recbole_sample,cuda,1,2048,1024,0.74,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,adressa_recbole_sample::MostPop::{},success,,6.4,{},,,,,,,,,,,,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.75,0.21,0.0,,,0.2486,0.3815,0.1459,0.1884,0.1123,0.1296,"adressa_recbole_sample::RecentPop::{""window_days"": 1}",success,,6.48,"{""window_days"": 1}",,,,,,,,,,,1.0,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.74,0.19,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::RecentPop::{""window_days"": 3}",success,,6.39,"{""window_days"": 3}",,,,,,,,,,,3.0,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.74,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::RecentPop::{""window_days"": 7}",success,,6.47,"{""window_days"": 7}",,,,,,,,,,,7.0,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.75,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::RecentPop::{""window_days"": 14}",success,,6.5,"{""window_days"": 14}",,,,,,,,,,,14.0,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.76,0.21,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::RecentPop::{""window_days"": 30}",success,,6.44,"{""window_days"": 30}",,,,,,,,,,,30.0,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.76,0.21,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::RecentPop::{""window_days"": 60}",success,,6.49,"{""window_days"": 60}",,,,,,,,,,,60.0,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.77,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::RecentPop::{""window_days"": 90}",success,,6.46,"{""window_days"": 90}",,,,,,,,,,,90.0,,,
RecentPop,adressa_recbole_sample,cuda,1,2048,1024,0.74,0.21,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::RecentPop::{""window_days"": 180}",success,,6.48,"{""window_days"": 180}",,,,,,,,,,,180.0,,,
DecayPop,adressa_recbole_sample,cuda,1,2048,1024,0.76,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 1e-09}",success,,8.43,"{""decay_lambda"": 1e-09}",,,,,,,,,,,,1e-09,,
DecayPop,adressa_recbole_sample,cuda,1,2048,1024,0.75,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 5e-09}",success,,7.94,"{""decay_lambda"": 5e-09}",,,,,,,,,,,,5e-09,,
DecayPop,adressa_recbole_sample,cuda,1,2048,1024,0.77,0.21,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 1e-08}",success,,8.13,"{""decay_lambda"": 1e-08}",,,,,,,,,,,,1e-08,,
DecayPop,adressa_recbole_sample,cuda,1,2048,1024,0.78,0.21,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 5e-08}",success,,8.23,"{""decay_lambda"": 5e-08}",,,,,,,,,,,,5e-08,,
DecayPop,adressa_recbole_sample,cuda,1,2048,1024,0.72,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 1e-07}",success,,8.12,"{""decay_lambda"": 1e-07}",,,,,,,,,,,,1e-07,,
DecayPop,adressa_recbole_sample,cuda,1,2048,1024,0.94,0.21,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 5e-07}",success,,8.45,"{""decay_lambda"": 5e-07}",,,,,,,,,,,,5e-07,,
DecayPop,adressa_recbole_sample,cuda,1,2048,1024,0.95,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 1e-06}",success,,8.14,"{""decay_lambda"": 1e-06}",,,,,,,,,,,,1e-06,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1192.49,1633.77,0.0,100,100,0.2589,0.4139,0.1597,0.2097,0.1275,0.1481,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 100}",success,,2833.73,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,0.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1202.29,1638.22,0.0,100,100,0.0992,0.1674,0.0665,0.088,0.0557,0.0643,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 100}",success,,2847.79,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,0.5,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1195.35,1632.57,0.0,100,100,0.0152,0.0419,0.0085,0.017,0.0064,0.0098,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 100}",success,,2835.41,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,1.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1126.18,1529.99,0.0,100,250,0.2516,0.4118,0.1563,0.208,0.1254,0.1466,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",success,,2663.77,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,0.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1163.26,1577.63,0.0,100,250,0.1119,0.1884,0.0761,0.1004,0.0645,0.0743,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 250}",success,,2748.65,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,0.5,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1187.66,1606.81,0.0,100,250,0.0241,0.0787,0.0133,0.0305,0.0098,0.0167,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 250}",success,,2802.01,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,1.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1174.14,1590.5,0.0,100,500,0.2423,0.3959,0.1517,0.2011,0.1222,0.1424,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",success,,2772.46,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,0.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1192.22,1612.56,0.0,100,500,0.1288,0.2018,0.0883,0.1115,0.075,0.0844,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}",success,,2812.29,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,0.5,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1218.79,1643.7,0.0,100,500,0.0394,0.099,0.0214,0.0404,0.0156,0.0233,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 500}",success,,2870.75,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,1.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1194.48,1615.26,0.0,200,100,0.2589,0.4139,0.1597,0.2097,0.1275,0.1481,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 100}",success,,2817.32,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,0.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1226.97,1671.54,0.0,200,100,0.0992,0.1674,0.0665,0.088,0.0557,0.0643,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 100}",success,,2906.33,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,0.5,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1236.96,1678.99,0.0,200,100,0.0152,0.0419,0.0085,0.017,0.0064,0.0098,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 100}",success,,2923.5,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,1.0,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,1302.57,1770.67,0.0,200,250,0.2599,0.4237,0.1603,0.2132,0.128,0.1497,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",success,,3081.12,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,0.0,
